#SampleID	Target	Project
C_16S_4_330SD_3_rhizo_S5	16S_515_926	LH5TF
C_16S_4_330SD_3_root_S104	16S_515_926	LH5TF
C_16S_4_342SI_1_rhizo_S82	16S_515_926	LH5TF
C_16S_4_342SI_1_root_S181	16S_515_926	LH5TF
C_16S_4_342SI_2_rhizo_S94	16S_515_926	LH5TF
C_16S_4_342SI_2_root_S193	16S_515_926	LH5TF
C_16S_4_342SI_3_rhizo_S11	16S_515_926	LH5TF
C_16S_4_342SI_3_root_S110	16S_515_926	LH5TF
C_16S_4_403SI_1_rhizo_S23	16S_515_926	LH5TF
C_16S_4_403SI_1_root_S122	16S_515_926	LH5TF
C_16S_4_403SI_2_rhizo_S35	16S_515_926	LH5TF
C_16S_4_403SI_2_root_S134	16S_515_926	LH5TF
C_16S_4_403SI_3_rhizo_S47	16S_515_926	LH5TF
C_16S_4_403SI_3_root_S146	16S_515_926	LH5TF
C_16S_4_415SD_1_rhizo_S17	16S_515_926	LH5TF
C_16S_4_415SD_1_root_S116	16S_515_926	LH5TF
C_16S_4_415SD_2_rhizo_S29	16S_515_926	LH5TF
C_16S_4_415SD_2_root_S128	16S_515_926	LH5TF
C_16S_4_415SD_3_rhizo_S41	16S_515_926	LH5TF
C_16S_4_415SD_3_root_S140	16S_515_926	LH5TF
C_16S_5_121SD_1_rhizo_S53	16S_515_926	LH5TF
C_16S_5_121SD_1_root_S152	16S_515_926	LH5TF
C_16S_5_121SD_2_rhizo_S65	16S_515_926	LH5TF
C_16S_5_121SD_2_root_S164	16S_515_926	LH5TF
C_16S_5_121SD_3_rhizo_S77	16S_515_926	LH5TF
C_16S_5_121SD_3_root_S176	16S_515_926	LH5TF
C_16S_5_136SI_1_rhizo_S59	16S_515_926	LH5TF
C_16S_5_136SI_1_root_S158	16S_515_926	LH5TF
C_16S_5_136SI_2_rhizo_S71	16S_515_926	LH5TF
C_16S_5_136SI_2_root_S170	16S_515_926	LH5TF
C_16S_5_136SI_3_rhizo_S83	16S_515_926	LH5TF
C_16S_5_136SI_3_root_S182	16S_515_926	LH5TF
C_16S_5_206SD_1_rhizo_S89	16S_515_926	LH5TF
C_16S_5_206SD_1_root_S188	16S_515_926	LH5TF
C_16S_5_206SD_2_rhizo_S6	16S_515_926	LH5TF
C_16S_5_206SD_2_root_S105	16S_515_926	LH5TF
C_16S_5_206SD_3_rhizo_S18	16S_515_926	LH5TF
C_16S_5_206SD_3_root_S117	16S_515_926	LH5TF
C_16S_5_206SD_3_soil_S98	16S_515_926	LH5TF
C_16S_5_227SI_1_rhizo_S95	16S_515_926	LH5TF
C_16S_5_227SI_1_root_S194	16S_515_926	LH5TF
C_16S_5_227SI_2_rhizo_S12	16S_515_926	LH5TF
C_16S_5_227SI_2_root_S111	16S_515_926	LH5TF
C_16S_5_227SI_3_rhizo_S24	16S_515_926	LH5TF
C_16S_5_227SI_3_root_S123	16S_515_926	LH5TF
C_16S_5_329SD_1_rhizo_S30	16S_515_926	LH5TF
C_16S_5_329SD_1_root_S129	16S_515_926	LH5TF
C_16S_5_329SD_2_rhizo_S42	16S_515_926	LH5TF
C_16S_5_329SD_2_root_S141	16S_515_926	LH5TF
C_16S_5_329SD_2_soil_S99	16S_515_926	LH5TF
C_16S_5_329SD_3_rhizo_S54	16S_515_926	LH5TF
